canonical_smiles,label
CCCCCC(C)(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,0
COc1ccc(/C=C/C(=O)O)cc1O,0
[123IH],0
N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N,1
CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1)B(O)O,0
CC(=O)c1ccc(O)cc1,1
N[C@@H](O)O[C@@H]1Cc2ccccc2[C@@H]1[C@@H]1CN[C@@](Cc2ccccc2)(C[C@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCOC2)C1=O,0
CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc3ccccc3c21,0
COc1ccc(C[C@@H](CN[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](Cc2cccs2)NC(=O)CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CCCN=C(N)N)cc1,0
C[C@H](O)CN,0
NCc1ccc(F)cc1,0
OCC1NCC(O)C(O)C1O,0
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,1
NCCC[C@H](NC(=O)CCC(=O)O)C(=O)O,0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(O)(O)=S)[C@@H](O)[C@H]1O,0
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)[O-],0
CC#N,1
O=C1C=CCC2C3CCCN4CCCC(CN12)C34,1
CC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,0
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(=O)(=O)O)[C@H]1O)NC(=O)[C@H](O)CCCCCCCCCCCCCCCCCCCCCC,0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,1
O=[N+]([O-])OCCCNCCCCNc1c2c(nc3ccccc13)CCCC2,0
CCCC(N)=O,0
CCNC(=O)[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,0
Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0
C[C@H](N)[C@@H](CCCCCC(=O)O)NC(=O)O,0
CC(C)c1ccc(COc2ccc(CC(=O)NCCN)cc2Cl)cc1,0
CCN(CC)C(=O)CSc1ccc(Cl)nn1,0
CNCCC(Oc1ccccc1C)c1ccccc1,1
COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H](O)[C@@H](N)[C@@H](C)O)c21,0
COc1c(O)c(OC)c2oc(-c3ccccc3O)cc(=O)c2c1O,0
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(N(CCCl)CCCl)cc4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,0
O=C(CCCN1CCC(n2c(=S)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0
CC1CCC(NC(=O)N(CCCl)N=O)CC1,0
CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(O)C(C)=CC32)C2C(C)(C)C12OC(C)=O,1
O=C(Cc1ccc(O)cc1)Nc1ncc(-c2ccc(O)cc2)nc1Cc1ccccc1,0
CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1,0
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,1
CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](C(=O)O)c1cccc(CN)c1,0
NCCc1ccc(O)c(C2CCCCC2)c1,0
CCOC(=O)C1=CC2(CC)CCCN3CCc4c(n1c1ccccc41)C32,1
CCC(=O)C(=O)O,0
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,0
CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,0
CCOC(=O)c1c(C)[nH][n+](-c2ccccc2)c1C,0
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
COc1cc(CS(C)(=O)=O)ccc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,0
CCN(N=O)C(N)=O,1
CN(C)C(=O)[C@@H](C1CCC(c2cccc3ncnn23)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,0
CC(N)CCCC(C)(C)O,0
COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1,0
O=C(Nc1cncnc1)c1c(Cl)ccc2c(Nc3cccc(C(F)(F)F)c3)noc12,0
O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O,0
COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC,0
CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OCCN4CCOCC4)ccc23)CN1C(=O)[C@@H](NC(=O)OC1C[C@@H]2C[C@@H]2C1)C(C)(C)C)C(=O)O,0
N=C(N)c1ccc2nc(-c3cc(CCN)cc(-c4ccccc4)c3O)[nH]c2c1,0
CCOC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NNCCCCN,0
CC1=CC(=O)CC(C(C)C)C1,0
