canonical_smiles,inchi_key,label,molecule_chembl_id
CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,RUXPNBWPIRDVTH-UHFFFAOYSA-N,1,CHEMBL6231
Nc1ccc(C(=O)[O-])cc1.[K+],MZKKJVZIFIQOPP-UHFFFAOYSA-M,1,CHEMBL1564391
NC(=O)Nc1ccc([As](=O)(O)O)cc1,WWXBHTZSYYGCSG-UHFFFAOYSA-N,1,CHEMBL1331366
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,FPPNZSSZRUTDAP-UWFZAAFLSA-N,1,CHEMBL1214
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O,QTAOMKOIBXZKND-PPHPATTJSA-N,1,CHEMBL1200748
N[C@@H](CSCC(=O)O)C(=O)O,GBFLZEXEOZUWRN-VKHMYHEASA-N,1,CHEMBL396416
O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,XDDJGVMJFWAHJX-UHFFFAOYSA-N,1,CHEMBL1213252
CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FSIRXIHZBIXHKT-MHTVFEQDSA-N,1,CHEMBL296373
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](Oc3cccc4c(O)c5c(=O)oc6ccc(C)c7c(=O)oc(c34)c5c67)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,1,CHEMBL2106409
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,AURFZBICLPNKBZ-YZRLXODZSA-N,1,CHEMBL210952
C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,HFGZFHCWKKQGIS-NOZJJQNGSA-N,1,CHEMBL34139
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,BJJXHLWLUDYTGC-ANULTFPQSA-N,1,CHEMBL1868702
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,GKQPCPXONLDCMU-CCEZHUSRSA-N,1,CHEMBL460291
N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,XUCIJNAGGSZNQT-JHSLDZJXSA-N,1,CHEMBL461727
CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+],GRIXGZQULWMCLU-HUTAOCTPSA-L,1,CHEMBL1200357
NCCNC(=O)c1ccc(Cl)cn1,JZXRLKWWVNUZRB-UHFFFAOYSA-N,1,CHEMBL279390
CC(/C=N/NC(=N)N)=N\NC(=N)N,MXWHMTNPTTVWDM-NXOFHUPFSA-N,1,CHEMBL216913
CCNNC(=O)[C@@H]1[C@H](c2cc(OC)c(OC)c(OC)c2)c2cc3c(cc2[C@H](O)[C@H]1CO)OCO3,CPTIBDHUFVHUJK-NZYDNVMFSA-N,1,CHEMBL460289
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,JGSARLDLIJGVTE-MBNYWOFBSA-N,1,CHEMBL29
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,IZUPBVBPLAPZRR-UHFFFAOYSA-N,1,CHEMBL75967
CNc1nc(N(C)C)nc(N(C)C)n1,XIFVTSIIYVGRHJ-UHFFFAOYSA-N,1,CHEMBL457723
