canonical_smiles,inchi_key,label,molecule_chembl_id
CCOc1ccccc1OCC1CNCCO1,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,1,CHEMBL306700
Cc1ccc(/C=N/NC(=O)c2cc3cc([N+](=O)[O-])ccc3s2)o1,LNKFZWNGFUATGR-LZYBPNLTSA-N,0,CHEMBL485519
CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,OWAUGAMNPZHEOJ-YKZVIGSYSA-N,1,CHEMBL1200509
Cc1cc2c(cc1C)-c1oc(CNc3ccc(CN4CCOCC4)cc3)c(C)c1C(=O)C2=O,RUEULZNGJZLPLJ-UHFFFAOYSA-N,0,CHEMBL4171658
CN1CCCCC1CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21.Cl,XZKCKZLJVQITEO-UHFFFAOYSA-N,1,CHEMBL4791959
COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(C(F)(F)F)c(F)c(N)n2)cc1C,AUTWHHYCTNKYNS-UHFFFAOYSA-N,0,CHEMBL1778454
Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,ZAHQPTJLOCWVPG-UHFFFAOYSA-N,1,CHEMBL1417019
COc1ccc(-c2nccc3c4ccccc4n(CCCCOc4ccc5c6ccnc(C)c6n(CCCc6ccccc6)c5c4)c23)cc1.Cl,URVYAXDYHABEIN-UHFFFAOYSA-N,0,CHEMBL4177326
CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc(Sc2ccccc2C(=O)O)c1O,DATLCQIAVKGFHT-JAGDBARYSA-N,0,CHEMBL3945723
O=C(CNS(=O)(=O)c1ccccc1C(=O)NCc1ccccc1)Nc1ccc(O)cc1,JZWWDTIBYWFKGK-UHFFFAOYSA-N,1,CHEMBL4778557
Cc1ccc2nc(-c3ccc(F)cc3)c(CC(=O)N(C)C)n2c1,RBCUOKGPVVSZPC-UHFFFAOYSA-N,0,CHEMBL3971200
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,HHJUWIANJFBDHT-ZVTSDNJWSA-N,1,CHEMBL238071
CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+],GRIXGZQULWMCLU-HUTAOCTPSA-L,1,CHEMBL1200357
CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O.C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C\N)C[C@H]12,NCCJWSXETVVUHK-ZYSAIPPVSA-N,1,CHEMBL1628401
N=C(CCl)NCCC[C@H](NC(=O)c1cc([N+](=O)[O-])c2nonc2c1)C(=O)NCc1cccc(B(O)O)c1,QVQLUTLQWGEXFG-HNNXBMFYSA-N,0,CHEMBL5630336
Cn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2Br)n(C)c1=O,VPAPPHOZFDSBAJ-UHFFFAOYSA-N,1,CHEMBL4535750
