name,canonical_smiles,inchi_key,label,db_label,sources,references
Ruzasvir,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2cc(F)c3c(c2)O[C@@H](c2cnc(C4CC4)s2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,AXWDHVUJXNOWCC-RAEGKSCOSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK548561/
Telaprevir,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,BBAWEDCPNXPBQM-GDEBMMAJSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK548561/
Elbasvir,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,BVAZQCUMNICBAQ-PZHYSIFUSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK385491/
Lobeglitazone,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,CHHXEZSCHQVSRE-UHFFFAOYSA-N,1,0.0,diabetes_sleep.csv,https://pubchem.ncbi.nlm.nih.gov/compound/9826451
Nintedanib,COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)CN4CCN(C)CC4)cc3)c3ccccc3)c(O)[nH]c2c1,CPMDPSXJELVGJG-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK548135/
Isavuconazole,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,DDFOUSQFMYRUQK-RCDICMHDSA-N,1,0.0,anti_infective_misc.csv,https://www.ncbi.nlm.nih.gov/books/NBK548241/
Pamiparib,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,DENYZIUJOTUUNY-MRXNPFEDSA-N,1,0.0,targeted_antiviral.csv,https://www.fda.gov/drugs/resources-information-approved-drugs
Osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,DUYJMQONPNNFPI-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK548495/
Velpatasvir,COC[C@H]1C[C@@H](c2nc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)c[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,FHCUMDQMBHQXKK-CDIODLITSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK385497/
Panobinostat,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,FPOHNWQLNRZRFC-ZHACJKMWSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK548835/
Pirtobrutinib,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,FWZAWAUZXYCBKZ-NSHDSACASA-N,1,0.0,targeted_antiviral.csv,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216059s000lbl.pdf
Ensartinib,CC1CN(C(=O)c2ccc(NC(=O)c3cc(OC(C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)CC(C)N1,GLYMPHUVMRFTFV-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK613924/
Vemurafenib,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,GPXBXXGIAQBQNI-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK548656/
Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,HHZIURLSWUIHRB-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK548443/
Everolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,HKVAMNSJSFKALM-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK548857/
Pacritinib,C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,HWXVIOGONBBTBY-UHFFFAOYSA-N,1,0.0,targeted_antiviral.csv;tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK584180/;https://www.ncbi.nlm.nih.gov/books/NBK601409/
Idelalisib,CCC(Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,IFSDAJWBUCMOAH-UHFFFAOYSA-N,0,1.0,tki.csv,https://www.ncbi.nlm.nih.gov/books/NBK548840/
Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,JNAHVYVRKWKWKQ-CYBMUJFWSA-N,1,0.0,targeted_antiviral.csv,https://clinicaltrials.gov/study/NCT02163694
Simeprevir,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,JTZZSQYMACOLNN-VDWJNHBNSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK548858/
Boceprevir,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,LHHCSNFAOIFYRV-DOVBMPENSA-N,1,0.0,targeted_antiviral.csv,https://www.ncbi.nlm.nih.gov/books/NBK547852/
