inchi_key,canonical_smiles,name
AAGFPTSOPGCENQ-UHFFFAOYSA-N,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,sophocarpine
BKIACVAZUKISOR-UHFFFAOYSA-N,CC(C)=CC(O)CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,notopterol
RUTGHCUXABPJTJ-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1C1CC(O)C(O)C(C)O1,aciculatin
BGLUXFNVVSVEET-UHFFFAOYSA-N,CC1C=CC(=O)O1,angelica lactone
NJGWOFRZMQRKHT-UHFFFAOYSA-N,CC(C)CCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,surfactin peptide
UCZJPQIEFFTIEV-UHFFFAOYSA-N,COc1c2ccc(-c3ccccc3)oc-2cc(=O)c1C,dracorhodin
YJXDGWUNRYLINJ-UHFFFAOYSA-N,CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C,gedunin
PGERTGWKXFAEFR-UHFFFAOYSA-N,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1,brazilein
JDIORNFCMMYMLF-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,bellidifolin
RYAHJFGVOCZDEI-UHFFFAOYSA-N,CC(C)C1C2OC(=O)C1C1CCC3CN(C)C2C31C,dendrobine
GYOGHROCTSEKDY-UHFFFAOYSA-N,CCC1C2CCCCN3C(C4CC(C)C(=O)O4)CC(C4C(C)C(=O)OC14)C23,tuberostemonine
ORQFDHFZSMXRLM-UHFFFAOYSA-N,COc1ccc(CC(C)C(C)Cc2ccc(OC)c(OC)c2)cc1OC,terameprocol
IMKHDCBNRDRUEB-UHFFFAOYSA-N,CC1(C)CCCC2(C)OC(=O)C=C12,dihydroactinidiolide
AZKVWQKMDGGDSV-UHFFFAOYSA-N,COC(=O)C1=COC(O)C2C(CO)=CCC12,genipin
UILPJVPSNHJFIK-UHFFFAOYSA-N,COc1ccc(C(C)=O)c(O)c1,paeonol
BQCRLWBELMWYQA-UHFFFAOYSA-N,CCCN(CCC)C(=S)S,di-n-propyldithiocarbamate
ZROGCCBNZBKLEL-UHFFFAOYSA-N,CC1OC(OC2C(=O)c3c(O)cc(O)cc3OC2c2ccc(O)c(O)c2)C(O)C(O)C1O,astilbin
AFHJQYHRLPMKHU-UHFFFAOYSA-N,O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,alloin
LBQIJVLKGVZRIW-UHFFFAOYSA-N,CC1(C)C=Cc2c(ccc3c2OCC(c2ccc(O)cc2O)C3)O1,glabridin
CXQWRCVTCMQVQX-UHFFFAOYSA-N,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,taxifolin
NTKNGUAZSFAKEE-UHFFFAOYSA-N,COc1c(O)cc2oc(Oc3ccc(O)cc3)cc(=O)c2c1O,capillarisin
RLGHFVLWYYVMQZ-UHFFFAOYSA-N,O=C1C=CCC(C=Cc2ccccc2)O1,goniothalamin
WIONIXOBNMDJFJ-UHFFFAOYSA-N,COc1c2ccccc2nc2occc12,dictamnine
