inchi_key,canonical_smiles,name,label,vivo_label,vitro_label
ISZNZKHCRKXXAU-UHFFFAOYSA-N,CC(C)N=C(N)/N=C(\N)Nc1ccc(Cl)c(Cl)c1,Chlorproguanil,0,0.0,
CLHMYBJIOZXCEX-UHFFFAOYSA-N,CC(C)(C(=O)NC1C2CC3CC1CC(C(N)=O)(C3)C2)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,4-[[2-Methyl-2-[4-[5-(trifluoromethyl)pyridin-2-yl]piperazin-1-yl]propanoyl]amino]adamantane-1-carboxamide,0,0.0,
MFUVCHZWGSJKEQ-UHFFFAOYSA-N,O=C=Nc1ccc(Cl)c(Cl)c1,,1,,1.0
UDQCRUSSQAXPJY-VIFPVBQESA-N,N[C@H](CO)Cc1c[nH]c2ccccc12,L-(-)-Tryptophanol,0,0.0,
AXWZZEWIGNYBGA-UHFFFAOYSA-N,C[N+]1(CC2COC(c3ccccc3)(C3CCCCC3)O2)CCCCC1,,0,,0.0
JSNQSLSBBZFGBM-VZCHMASFSA-N,CC1(C)OC2(C)[C@H](O)CC1C[C@@H]2O,Clesidren,0,0.0,
CRZQGDNQQAALAY-UHFFFAOYSA-N,COC(=O)Cc1ccccc1,,0,,0.0
RTHKPHCVZVYDFN-UHFFFAOYSA-N,Nc1nccc(-c2c3c(=O)cc[nH]c3n3c(N)nccc23)n1,Variolin B,0,0.0,
OTTYWVUOPWENAJ-HOJAQTOUSA-N,C[C@@H](NC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)O)B(O)O,Boc-gamma-D-glu-L-lys(cbz)-D-boroala,0,0.0,
OVGORFFCBUIFIA-UHFFFAOYSA-N,CCCCC(O)c1ccccc1,fenipentol,0,0.0,0.0
ZAIYYXVHGBMLEC-UHFFFAOYSA-N,Fc1ccccc1-c1cc(NCc2ccncc2)n2nccc2n1,"5-(2-fluorophenyl)-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",0,0.0,
FBYFJOVKHROJSY-UHFFFAOYSA-N,CCCN(CCC)CCc1cccc2[nH]c(O)cc12,ropinirole,1,1.0,
HGUFODBRKLSHSI-UHFFFAOYSA-N,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,,1,,1.0
GDSCFOSHSOWNDL-UHFFFAOYSA-N,Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,Zolazepam,0,0.0,
AYUNIORJHRXIBJ-TXHRRWQRSA-N,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,Tanespimycin,0,0.0,
