inchi_key,canonical_smiles,name,label,vitro_confidence,vitro_n_sources
SLVCCWGFGQVDMN-UHFFFAOYSA-N,CCCC(CC)c1ccccc1,,0,med,1.0
NJLIYLJDWPGKIF-UHFFFAOYSA-N,O=C1NC(=O)C(=Cc2ccc(OC3CCN(C(=O)c4ccc(C(F)(F)F)c(F)c4)CC3)cc2)C(=O)N1,CHEMBL2180057,0,med,1.0
YKVIWISPFDZYOW-UHFFFAOYSA-N,CCCCC1CCCCC(=O)O1,,0,med,1.0
ZSZFUDFOPOMEET-UHFFFAOYSA-N,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,Diclazuril,1,med,1.0
LVNLBBGBASVLLI-UHFFFAOYSA-N,CCO[Si](CCCNC(N)=O)(OCC)OCC,,0,med,1.0
LNPDTQAFDNKSHK-UHFFFAOYSA-N,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Valdecoxib,1,high,2.0
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,BIOTIN,0,med,1.0
FUNUTBJJKQIVSY-UHFFFAOYSA-N,Cc1ccc(Cl)cc1Cl,,0,med,1.0
ONUFESLQCSAYKA-UHFFFAOYSA-N,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,,1,med,1.0
CRRKVZVYZQXICQ-RJJCNJEVSA-N,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)CC[C@@H]32)C1,Pregnenolone Acetate,0,med,1.0
IZYUWBATGXUSIK-UHFFFAOYSA-N,CC(COCC(C)OC(=O)c1ccccc1)OC(=O)c1ccccc1,,0,med,1.0
CARJPEPCULYFFP-UHFFFAOYSA-N,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,,0,med,1.0
