inchi_key,canonical_smiles,name,label,vivo_confidence,vivo_n_sources
CRHJDPGLFDNPOA-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,4-(Acetylamino)-3-((Hydroxyacetyl)Amino)Benzoic Acid,0,med,2
SLUYGGAVUSVJOT-UHFFFAOYSA-N,C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,tacrolimus,1,med,2
IWVRQJNSUOIUFV-VGRMVHKJSA-N,CC(=O)N[C@H]1NC[C@H](CO)[C@H](O)[C@@H]1O,"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",0,med,2
MBKDYNNUVRNNRF-UHFFFAOYSA-N,O=P(O)(O)CP(=O)(O)O,Medronic Acid,0,med,2
PEPMWUSGRKINHX-TXTPUJOMSA-N,CC1=CC(=O)C=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]12C,Atamestane,0,med,2
IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,Aspartame,0,med,2
JHFNIHVVXRKLEF-DCZLAGFPSA-O,Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c3nsc(N)n3)[C@H]2SC1,ceftolozane,0,med,2
VVWYOYDLCMFIEM-UHFFFAOYSA-N,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,PROPANTHELINE BROMIDE,0,high,3
UPTQSRGSSJRBKJ-LJQANCHMSA-N,COc1cc2ncnc(N3CC[C@@H](Oc4ccc5ccccc5c4)C3)c2cc1OC,"6,7-Dimethoxy-4-[(3R)-3-(2-naphthyloxy)pyrrolidin-1-YL]quinazoline",0,med,2
FVTCRASFADXXNN-SCRDCRAPSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,RIBOFLAVIN 5'-PHOSPHATE,0,high,3
CMCCHHWTTBEZNM-UHFFFAOYSA-N,CC(C)C(Br)C(=O)NC(N)=O,bromisoval,1,med,3
