inchi_key,canonical_smiles,name,label,vivo_confidence,vivo_n_sources
XVZXKSLIJJYXKZ-AZZRMWFGSA-N,CCc1c2[nH]c(c1C)/C=c1\[nH]/c(c(CCC(=O)O)c1C)=C\c1[nH]c(c(C)c1CCC(=O)O)/C=C1\N/C(=C\2)C(C)(CC)C1=O,FE-Mesopone,0,med,2
LXWNTLBMNCXRQN-UHFFFAOYSA-N,O=C(O)c1ccc(-c2ccc(F)cc2)cc1,4-(4-Fluorophenyl)benzoic acid,0,med,2
NIPZLALJRAHABJ-IBGZPJMESA-N,N#CCCNc1nonc1-c1nc2ccccc2n1CC(=O)c1ccc(NC(=O)[C@@H](N)CCCCN)cc1,Lisavanbulin,0,med,2
WFFOOKSVFDUPDH-FCHUYYIVSA-N,CC(C)[C@H](NS(=O)(=O)CCCc1ccccc1)P(=O)(O)C[C@H](C(=O)O)c1cccc(CN)c1,BX-528,0,med,2
YUHVBHDSVLKFNI-NJSLBKSFSA-N,Cc1ccc(O)c(O)c1CC[C@@H]1C(=O)CC[C@]2(C)C(=O)CC[C@@H]12,"3,4-Dihydroxy-9,10-secoandrosta-1(10),2,4-triene-9,17-dione",0,med,2
OGGXGZAMXPVRFZ-UHFFFAOYSA-N,C[As](C)(=O)O,cacodylic acid,0,med,2
WDSCBUNMANHPFH-UHFFFAOYSA-N,CC(=O)NCCCCCC(=O)O,acexamic acid,0,med,2
MBBCVAKAJPKAKM-UHFFFAOYSA-N,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,Lomitapide mesylate,1,high,3
UQRORFVVSGFNRO-XFWSIPNHSA-N,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Lucerastat,0,med,2
IHBAVXVTGLANPI-QMMMGPOBSA-N,CC(C)[C@H](N)C(=O)N1CCCC1,Valine-pyrrolidide,0,med,2
UYXTWWCETRIEDR-UHFFFAOYSA-N,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Tributyrin,0,med,2
HPLFQKUIHGZHPH-UHFFFAOYSA-N,CCC(C(=O)O)C1(O)CCC(c2ccccc2)CC1,fencibutirol,0,med,2
LLXISKGBWFTGEI-FQEVSTJZSA-N,CON(C)C(=O)N1N=C(c2cc(F)ccc2F)S[C@@]1(CCCN)c1ccccc1,Filanesib,0,med,2
