name,input,inchi_key,found,label,verdict,match,confidence,n_sources,conflict,db_name
,CCCCCN=C(N)NNC=C1C=Nc2c1cc(cc2)CO,URPUECXJHQGUDU-UHFFFAOYSA-N,False,,not_in_db,,,,,
,c1ccc(cc1)C2=c3c4c(sc3=NC(=O)CN2)CCCC4,CXEGHCTZKNQDGO-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CCCN1C2CC(C3C1CC4(C2N(c5c4cccc5)C)C3O)C(CC)C=O,FNVKGPJJWIKOEY-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,ZUXABONWMNSFBN-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CN1C(=C(Nc2ccccn2)O)C(=O)c3c(ccs3)S1(=O)=O,WZWYJBNHTWCXIM-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CC(=O)CC(c1ccc(cc1)[N+](=O)[O-])c2c(=O)c3ccccc3oc2O,WWBYDEQHYAEHLT-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CC1(c2c(ccc(c2C(=C3C1CC4C(C(=O)C(=C(N)O)C(=O)C4(C3=O)O)N(C)C)O)O)Cl)O,WKZUQOQLOHMCQC-UHFFFAOYSA-N,False,,not_in_db,,,,,
,Cc1c(c2c3c4c1OC(C4=O)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)NC(=C2O)C(=CNN5CCN(CC5)C6CCCC6)C3=O)C)C)O)C)O)C)OC(=O)C)C)OC)C)O,RISDZDVHYCURHD-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CN1CCN(CC1)C1=C2C=CC=CC2=NC2=CC=C(Cl)C=C2N1,ZUXABONWMNSFBN-UHFFFAOYSA-N,False,,not_in_db,,,,,
,Clc1cc2NC(=c3c(=Nc2cc1)cccc3)N1CCN(CC1)C,ZUXABONWMNSFBN-UHFFFAOYSA-N,False,,not_in_db,,,,,
,COC1CC(=O)CC(C)C11OC2=C(C1=O)C(OC)=CC(OC)=C2Cl,IIUZTXTZRGLYTI-UHFFFAOYSA-N,False,,not_in_db,,,,,
,COC(=O)C(N)CC1=CC=C(O)C(O)=C1,XBBDACCLCFWBSI-UHFFFAOYSA-N,True,0,간독성 없음,skeleton,med,2,False,melevodopa
,CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1CCC(O)CC(O)CC(O)=O)N(C)S(C)(=O)=O,ZVPAUNJUMAQCNK-UHFFFAOYSA-N,False,,not_in_db,,,,,
,o1c(O)c([C@@H](CC(=O)C)c2ccccc2)c(=O)c2c1cccc2,QTXVAVXCBMYBJW-HNNXBMFYSA-N,False,,not_in_db,,,,,
,CC(=O)NC1C(O)OC(CO)C(OS(O)(=O)=O)C1OC1OC(C(O)C(O)C1O)C(O)=O,AVJBPWGFOQAPRH-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,False,Dermatan Sulfate
,O1C([C@H](OC)[C@@H](OC(=O)N)[C@@H](O)[C@@H]1Oc1c(c2oc(O)c(NC(=O)c3cc(CC=C(C)C)c(O)cc3)c(=O)c2cc1)C)(C)C,DYYIUCVAQGRACE-KGSXXDOSSA-N,False,,not_in_db,,,,,
